plate,timestamp,confidence,image
DL1AB2345,2025-06-17_01-55-10,0.95,snapshots/DL1AB2345_2025-06-17_01-55-10.jpg
HDL1AB2345,2025-06-17_01-55-10,0.95,snapshots/HDL1AB2345_2025-06-17_01-55-10.jpg
PDL1AB2345,2025-06-17_01-55-17,0.95,snapshots/PDL1AB2345_2025-06-17_01-55-17.jpg
ETR03MF4477,2025-06-17_01-56-13,0.95,snapshots/ETR03MF4477_2025-06-17_01-56-13.jpg
TR03MF4477,2025-06-17_01-56-13,0.95,snapshots/TR03MF4477_2025-06-17_01-56-13.jpg
ITR03MF4477,2025-06-17_01-56-15,0.95,snapshots/ITR03MF4477_2025-06-17_01-56-15.jpg
DL4CAFL943,2025-06-17_01-58-35,0.95,snapshots/DL4CAFL943_2025-06-17_01-58-35.jpg
DLGCAFL943,2025-06-17_01-58-35,0.95,snapshots/DLGCAFL943_2025-06-17_01-58-35.jpg
DLCCAF4943,2025-06-17_01-58-35,0.95,snapshots/DLCCAF4943_2025-06-17_01-58-35.jpg
DL4CAF4943,2025-06-17_02-03-06,0.95,snapshots/DL4CAF4943_2025-06-17_02-03-06.jpg
DLGCAF4943,2025-06-17_02-03-06,0.95,snapshots/DLGCAF4943_2025-06-17_02-03-06.jpg
MDLGCAF4943,2025-06-17_02-03-07,0.95,snapshots/MDLGCAF4943_2025-06-17_02-03-07.jpg
DL1A82345,2025-06-18_21-05-51,0.95,snapshots/DL1A82345_2025-06-18_21-05-51.jpg
AESB2345,2025-06-18_21-05-52,0.95,snapshots/AESB2345_2025-06-18_21-05-52.jpg
DL1AB2345,2025-06-18_21-05-53,0.95,snapshots/DL1AB2345_2025-06-18_21-05-53.jpg
DL1AB2345,2025-06-18_21-18-08,0.95,snapshots/DL1AB2345_2025-06-18_21-18-08.jpg
MDL1AB2345,2025-06-18_21-18-08,0.95,snapshots/MDL1AB2345_2025-06-18_21-18-08.jpg
FDL1AB2345,2025-06-18_21-18-09,0.95,snapshots/FDL1AB2345_2025-06-18_21-18-09.jpg
LKA013C5758,2025-06-18_21-20-06,0.95,snapshots/LKA013C5758_2025-06-18_21-20-06.jpg
KA013C5758,2025-06-18_21-20-06,0.95,snapshots/KA013C5758_2025-06-18_21-20-06.jpg
LKAO13C5758,2025-06-18_21-20-07,0.95,snapshots/LKAO13C5758_2025-06-18_21-20-07.jpg
